username,tweet,date,time,mentions,hashtags,likes,retweets,comments,replies,views
IT_Jobs_Ca,servicenow engineer iv living valuesall associates guided values values unifying foundation companies strive ensure every decision engineer iv,2025-06-29,12:14:27,,"jobs,ITJobs,NowHiring,ITJobPro",0,0,0,0,0
fleejack,day southern university college baton rouge la founded,2025-06-29,12:05:08,,"HBCUtour,hbcu,hbcus,jobs,careers,HBCUDivision,diversityandinclusion,guestlecturer",1,0,0,0,4
PropertyVendors,companies hiring property preservation vendors across mi mo ms oh va wv,2025-06-29,12:04:14,,"PropertyPreservation,Foreclosure,REO,Jobs,Hiring",0,0,0,0,3
SumedhShende4,learn code system design concepts,2025-06-29,12:01:14,,"systemdesign,interview,jobs",0,0,0,0,5
JCPBedsAndHerts,team member required hollywood bowl watford herts info apply,2025-06-29,12:00:35,,"LeisutreJobs,CustomerServiceJobs,Watford,Herts,Jobs",0,0,0,0,11
NCSIndia,empowering abilities discover job opportunities tailored ncs portal register today,2025-06-29,12:00:04,,"NCS,Career,Skills,Jobs,Employment,DAs",0,0,0,0,27
Earthworksjobs,funded phd igneous petrology geochemistry perth australia tin,2025-06-29,12:00:00,,"jobs,research,PhD,igneous,petrology,geochemistry,geoscience,geology",1,0,0,0,52
WOBionetworks,wobn jobs lab aide seattle wa gon biotech jobs lab aide seattle wa utm source rss utm medium rss utm campaign lab aide seattle wa,2025-06-29,11:56:03,,"biotech,jobs",0,0,0,0,0
Kanishk1804,elon musk says president trump one big beautiful bill destroy millions jobs harm us,2025-06-29,11:54:26,,"ElonMusk,Trump,USPolitics,Jobs,Economy",1,0,0,0,46
MamboJournal,africa mega interchanges efficient creating jobs boosting trade major road cutting jams creating boosting saving lives mega projects shaping africa future,2025-06-29,11:54:08,,"Africa,interchanges,transforming,cities,traffic,jobs,trade",0,0,0,0,14
TheLayoffBot,intel thread topic happen us intc ibm qcom,2025-06-29,11:32:26,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM,qualcomm",0,0,0,0,34
TheLayoffBot,intel thread topic package summary enhance retirement pretty decent qualify intc ibm qcom,2025-06-29,11:32:22,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM,qualcomm",0,0,0,0,39
TheLayoffBot,intel thread topic package details intc ibm qcom,2025-06-29,11:31:49,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM,qualcomm",0,0,0,0,40
TheLayoffBot,intel thread topic sk fired intc ibm qcom,2025-06-29,11:31:42,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM,qualcomm",0,0,0,0,42
TheLayoffBot,wells fargo thread topic get laid decide travel overseas wfc wfb bac,2025-06-29,11:31:14,,"wellsfargo,wellsfargobank,bac,bofa,bankinglayoffs,bankingjobs,jobs,recession,layoffs2025,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,36
TheLayoffBot,shell oil thread topic skills qualities needed get outsourced laid shel,2025-06-29,11:31:07,,"ShellOil,Shell,dallas,houston,irving,texas,texasjobs,texaslayoffs,exxonmobil,jobs,recession,layoff,layoffs,thelayoff,oilandgas",0,0,0,0,24
TheLayoffBot,wells fargo thread topic gary getting laid tomorrow wfc wfb bac,2025-06-29,11:30:47,,"wellsfargo,wellsfargobank,bac,bofa,bankinglayoffs,bankingjobs,jobs,recession,layoffs2025,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,43
TheLayoffBot,dell thread topic one leaves dell,2025-06-29,11:30:43,,"dell,austin,austinlayoffs,roundrock,texasjobs,texas,itjobs,delljobs,itlaoffs,jobs,recession,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,17
TheLayoffBot,intel thread topic beuracaceatic processes redundant meetings increasing alongside management hostility intc ibm qcom,2025-06-29,11:30:26,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM",0,0,0,0,43
TheLayoffBot,hp hewlett packard thread topic emea layoffs week hpe,2025-06-29,11:27:45,,"HPE,Spring,Texas,InformationTechnology,Consulting,itjobs,itlaoffs,jobs,recession,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,12
TheLayoffBot,dell thread topic severance packages ireland dell,2025-06-29,11:27:36,,"dell,austin,austinlayoffs,roundrock,texasjobs,texas,itjobs,delljobs,itlaoffs,jobs,recession,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,9
TheLayoffBot,wells fargo thread topic layoff thread wfc wfb bac,2025-06-29,11:27:33,,"wellsfargo,wellsfargobank,bac,bofa,bankinglayoffs,bankingjobs,jobs,recession,layoffs2025,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,35
TheLayoffBot,verizon thread topic performance improvement plan vz tmus,2025-06-29,11:27:20,,"verizon,mobile,telcojobs,sprint,telcos,tmobile,att,telecom,layoff,layoffs,jobcut,layoffs2025,telecomjobs,jobs,recruitng,Techjobs",0,0,0,0,19
TheLayoffBot,dell thread topic talk action dell,2025-06-29,11:27:07,,"dell,austin,austinlayoffs,roundrock,texasjobs,texas,itjobs,delljobs,itlaoffs,jobs,recession,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,8
TheLayoffBot,intel thread topic outsourcing means lower quality work intc ibm qcom,2025-06-29,11:27:02,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM,qualcomm",0,0,0,0,27
TheLayoffBot,honeywell thread topic careful tell manager hon,2025-06-29,11:26:49,,"HON,Honeywell,Layoff,Layoffs,Redundancy,layoffs2025,JobCut,JobCuts,Recession,Jobs,JobsGrowth,Aerospace,Resideo,Charlotte,phoenix,glendale",0,0,0,0,30
TheLayoffBot,intel thread topic think performance save intc ibm qcom,2025-06-29,11:26:42,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM,qualcomm",0,0,0,0,24
JobsCollider,simspace hiring senior security automation engineer united states apply,2025-06-29,11:08:17,,"Cybersecurity,Remote,Jobs,JobsCollider",0,0,0,0,7
scitoday_jobs,research associate doctoral researcher transportation trr agimo,2025-06-29,11:08:10,,"science,jobs,sciencejobs,job",0,0,0,0,1
scitoday_jobs,doctoral researcher modelling simulation airport op erations,2025-06-29,11:07:40,,"science,jobs,sciencejobs,job",0,0,0,0,3
scitoday_jobs,projektkoordination onboarding programm studierende school engineering design,2025-06-29,11:06:39,,"science,jobs,sciencejobs,job",0,0,0,0,1
scitoday_jobs,storyteller hot topics engineering projektkoordination zentrale veranstaltungen der school engineering design,2025-06-29,11:06:09,,"science,jobs,sciencejobs,job",0,0,0,0,1
scitoday_jobs,academic quality standards officer cc,2025-06-29,11:05:09,,"science,jobs,sciencejobs,job",0,0,0,0,0
lpamanian,apply,2025-06-29,11:05:04,,"JobFair,USPSCareers,Vermontjobs,hiring,jobs,jobsearch,joinourteam,USPS,USPSEmployee,USPSEmployee",0,0,0,0,1
scitoday_jobs,phd candidate marine electrification smart onboard energy systems knadsfrist torsdag juli,2025-06-29,11:04:38,,"science,jobs,sciencejobs,job",0,0,0,0,2
JCPBedsAndHerts,field care supervisor required home instead bedford beds info apply,2025-06-29,11:00:20,Homeinsteaduk,"CareJobs,ManagementJobs,Bedford,Beds,Jobs",0,0,0,0,16
AgileUAE,hiring audit associate salary aed submit cv ociate,2025-06-29,10:52:27,,"Hiring,Recruitment,Networking,Jobs,Careers,AuditAssociate,AuditJobs,AccountingJobs,FinanceJobs,DubaiJobs,ACCAJobs,CPACareers,UAEJobs,AuditorVacancy,Apply,AgileConsultants",0,0,0,0,18
Boss7502,residence egypt location cairo egypt application deadline july find full details apply,2025-06-29,10:46:34,,"Sweden,SwedeninEgypt,TeamSweden,Vacancy",0,0,0,0,6
FrugalFinanced,prestigious award winning restaurant hiring apply pot id callback url,2025-06-29,10:44:34,"BlueOnHighland,adampatti","Hiring,RestaurantJobs,RestaurantLife,Jobs,Job,Career,Needham,Careers,JobOpportunity",1,0,0,0,14
NCSIndia,dream job never cost safety ncs helps stay one step ahead fraud,2025-06-29,10:43:32,,"NCS,Career,Skills,Jobs",3,3,0,0,535
h_pongilath,central university karnataka dist announced geography programme mentioned,2025-06-29,10:30:57,,"CUK,Gulbarga,Karnataka,Vacancy,Msc,Geography,University,Education",0,0,0,0,37
zafartalks,week retrospective built past week contact,2025-06-29,10:11:06,,"components,website,jobs,projects,opentowork,jobseeker,html,css,nextjs,reactjs,code,coding,webdev,webapps,javascript,ui,ux",0,0,0,0,16
Harsha_Sabbana,appreciated wishing fellow cas happy ca day,2025-06-29,10:06:25,,"CADay,charteredaccountant,gratitude,naukri,lifeasaca,1stJuly,CAProfession,CACommuni",0,0,0,0,8
wowjobshq,logistics assistant administration assistant sales assistant assist department managers respective duties,2025-06-29,10:01:44,,"Zambia,ZedTwitter,jobs,job,JobPosition",0,0,1,0,12
JCPBedsAndHerts,learning support assistant required national autistic society radlett herts info apply,2025-06-29,10:00:24,Autism,"EducationJobs,TeachingJobs,Jobs,Radlett,Herts",0,0,0,0,21
uiuxjobsboard,creative minds wanted full time ui designer location london united kingdom design next big thing learn designer london united kingdom,2025-06-29,10:00:21,,"uxdesign,jobs,tech,design",1,0,0,0,30
TopOneHire,reel next big catch perfect job top one hire today check open jobs today,2025-06-29,10:00:14,,"hiring,hiringnow,job,career,success,jobopening,jobseeker,work,productivity,newjob,opentowork",0,0,0,0,5
BCBNJobs,research specialist cell culture boston ge biotech jobs research specialist cell culture boston utm source rss utm medium rss utm campaign research specialist cell culture boston,2025-06-29,09:31:03,,"jobs,biotech",0,0,0,0,11
Job_Energy,senior desktop support technician description ngen largest services program navy service management integration transport smit portion ktop support technician,2025-06-29,09:29:25,,"jobs,Recruiting,NowHiring",0,0,0,0,10
alexahirejobs,tcs walkin interview chennai freshers expereinced apply apply erview chennai freshers expereinc,2025-06-29,09:27:54,,"HiringNow,JobOpening,NowHiring,Jobs,CareerOpportunities,Employment,JobSearch,JobListing,JobPosting,RemoteWork,Hiring,Recruiting,Career,JobHunt",0,0,0,0,11
illbeback_jobs,ai senior project manager project manager feed id unique id efd follow updated new,2025-06-29,09:27:12,e2ftranslations,"jobs,AI,ML,AIJobs,AITalent,hiring,ProjectManagement,N",0,0,0,0,15
nensibhesaniya,resume weapon wishlist want complete guide prompts drop dm breakdown biggest resume struggle let know,2025-06-29,09:19:17,,"Jobs,AI,Career,OpenToWork",0,0,0,0,10
JobsCollider,commonwealth fusion systems looking senior scientific software engineer united states apply,2025-06-29,09:03:30,,"SoftwareDevelopment,Remote,Jobs,JobsCollider",0,0,0,0,14
charitybegin4,,2025-06-29,09:02:18,,"Vacancy,Guisborough",0,1,0,0,42
ahmed_eyad_dev,ahmed eyad laravel developer gaza looking remote job opportunity freelancer years experience laravel mysql portfolio ahmedeyad com,2025-06-29,09:02:05,gmail,"Laravel,Jobs,Freelance",1,0,0,0,7
innovatorahmed,acquire scale multi billion dollar startup quisitions,2025-06-29,08:58:00,,"jobsusa,recruitment,careers,startup,jobs,startups,acquisition,silliconvalley,bayarea,recruitholdings,ziprecruiter,jobsearch,employment,indeed,news,networking",0,0,0,0,10
progjobboard,director maineit artificial intelligence ai center excellence public service manager iii state maine remote maineit artificial intelligence ai center excellence public service manager iii dc bc,2025-06-29,08:57:46,,"programmingjobs,hiring,jobs,techjobs,developers,programming,devjobs,recruiter,recruiting",1,0,1,0,20
progjobboard,artificial intelligence engineering development vp state street quincy massachusetts united states intelligence engineering development vp,2025-06-29,08:57:46,,"programmingjobs,hiring,jobs,techjobs,developers,programming,devjobs,recruiter,recruiting",1,0,1,0,18
progjobboard,artificial intelligence solutions consultant conversational architect wells fargo bank charlotte north carolina united states intelligence solutions consultant conversational architect,2025-06-29,08:57:45,,"programmingjobs,hiring,jobs,techjobs,developers,programming,devjobs,recruiter,recruiting",1,0,1,0,27
